league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKWINTER,2012-11-15,Azubu Blaze,KT Rolster B,0,Flame,Jayce,3,5,3,311.0,,Helios (Shin Dong-jin),Lee Sin,1,4,5,137.0,,Ambition,Orianna,2,5,4,419.0,,Cpt Jack,Vayne,2,3,3,373.0,,Lustboy,Zyra,2,5,7,52.0,,Ragan,Olaf,3,2,9,318.0,,KaKAO,Cho'Gath,3,2,11,130.0,,Ryu,Diana,7,2,10,424.0,,Score,Graves,7,0,10,422.0,,Mafa,Janna,2,4,16,44.0,
2013LCKWINTER,2012-11-15,KT Rolster B,Azubu Blaze,1,Ragan,Olaf,8,3,4,249.0,,KaKAO,Lee Sin,2,2,11,134.0,,Ryu,Twisted Fate,3,2,12,318.0,,Score,Corki,6,1,6,308.0,,Mafa,Alistar,0,2,13,15.0,,Flame,Jax,1,4,2,262.0,,Helios (Shin Dong-jin),Dr. Mundo,2,4,2,156.0,,Ambition,Karthus,4,3,4,331.0,,Cpt Jack,Ezreal,3,5,3,290.0,,Lustboy,Lulu,0,3,6,33.0,
2013LCKWINTER,2012-11-16,MVP Blue,CJ Entus,0,KangQui,Vladimir,3,6,16,351.0,,NoFe,Nocturne,1,4,13,228.0,,SunChip,Karthus,7,9,14,378.0,,Hermes,Caitlyn,10,2,6,559.0,,Bust,Zyra,4,5,13,69.0,,LongPanda,Irelia,2,7,13,246.0,,InSec,Rengar,7,9,11,268.0,,Dade,Orianna,6,3,15,417.0,,Space,Ezreal,8,3,12,405.0,,Kish,Sona,3,3,20,24.0,
2013LCKWINTER,2012-11-16,CJ Entus,MVP Blue,1,LongPanda,Olaf,2,2,12,213.0,,InSec,Rengar,4,4,8,211.0,,Dade,Twisted Fate,5,4,10,315.0,,Space,Ashe,4,5,12,236.0,,Kish,Zyra,6,3,9,25.0,,KangQui,Shen,3,5,8,237.0,,NoFe,Cho'Gath,5,2,11,174.0,,SunChip,Ahri,4,5,6,217.0,,Hermes,Ezreal,6,4,8,320.0,,Bust,Leona,0,5,9,36.0,
2013LCKWINTER,2012-11-21,NaJin Sword,KT Rolster B,0,MakNooN,Malphite,4,7,9,,,Watch,Lee Sin,1,5,16,,,SSONG,Twisted Fate,7,6,7,,,PraY,Ezreal,5,4,8,,,Cain,Sona,4,2,11,,,Ragan,Irelia,4,5,11,,,KaKAO,Maokai,1,4,17,,,Ryu,Karthus,4,9,8,,,Score,Corki,14,0,9,,,Mafa,Blitzcrank,0,3,14,,
2013LCKWINTER,2012-11-21,KT Rolster B,NaJin Sword,1,Ragan,Jax,2,1,6,,,KaKAO,Cho'Gath,3,1,9,,,Ryu,Diana,3,4,7,,,Score,Corki,5,0,5,,,Mafa,Taric,0,3,10,,,MakNooN,Irelia,3,3,3,,,Watch,Lee Sin,0,2,7,,,SSONG,Zyra,3,4,5,,,PraY,Vayne,3,2,3,,,Cain,Sona,0,2,6,,
2013LCKWINTER,2012-11-23,Azubu Blaze,CJ Entus,1,Flame,Jax,6,2,6,,,Helios (Shin Dong-jin),Olaf,4,3,8,,,Ambition,Orianna,7,3,10,,,Cpt Jack,Vayne,5,3,6,,,Lustboy,Lulu,2,3,17,,,LongPanda,Vladimir,3,6,5,,,InSec,Shaco,3,2,4,,,Dade,Twisted Fate,2,2,6,,,Space,Caitlyn,1,6,6,,,Kish,Zyra,5,8,4,,
2013LCKWINTER,2012-11-23,CJ Entus,Azubu Blaze,0,LongPanda,Jax,5,7,1,,,InSec,Amumu,0,7,12,,,Dade,Vladimir,2,4,8,,,Space,Kog'Maw,7,4,4,,,Kish,Lulu,1,6,9,,,Flame,Shen,5,2,19,,,Helios (Shin Dong-jin),Olaf,8,2,11,,,Ambition,Ziggs,6,2,12,,,Cpt Jack,Tristana,8,4,12,,,Lustboy,Zyra,1,5,20,,
2013LCKWINTER,2012-11-24,MVP Blue,GSG,1,KangQui,Singed,0,2,14,,,NoFe,Skarner,0,1,13,,,SunChip,Orianna,12,3,5,,,Hermes,Sivir,6,3,9,,,Bust,Lulu,0,4,16,,,Acorn,Shen,3,0,6,,,Heart,Cho'Gath,0,5,9,,,Easyhoon,Syndra,4,4,2,,,Clear (Kim Jae-yeol),Corki,3,3,7,,,PoohManDu,Blitzcrank,3,6,6,,
2013LCKWINTER,2012-11-24,GSG,MVP Blue,1,Acorn,Vladimir,7,3,8,,,Heart,Nocturne,1,2,6,,,Easyhoon,Karthus,9,3,14,,,Clear (Kim Jae-yeol),Miss Fortune,10,2,10,,,PoohManDu,Blitzcrank,1,2,13,,,KangQui,Rengar,0,6,5,,,NoFe,Lee Sin,1,4,3,,,SunChip,Lux,5,6,4,,,Hermes,Twitch,6,7,2,,,Bust,Leona,0,5,6,,
