league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKSUMMER,2013-07-03,NaJin Black Sword,Chunnam Tech U.,0,Expession,Zac,2,5,0,163,7.5,Watch,Evelynn,1,2,3,110,6.5,SSONG,Syndra,0,7,2,194,7.5,PraY,Draven,2,4,1,225,9.1,Cain,Nami,0,4,2,16,4.6,NonameD,Shen,3,0,12,193,11,Raccoon,Lee Sin,4,0,12,88,9.1,Mima,Gragas,5,2,10,204,11.2,Riris,Vayne,9,1,3,248,12.9,Wolf (Lee Jae-wan),Thresh,1,2,11,20,7.6
2013LCKSUMMER,2013-07-06,Jin Air Stealths,CJ Entus Blaze,0,TrAce,Zac,0,6,1,120,5.9,ActScene,Sejuani,0,3,3,87,5.5,HooN (Kim Nam-hoon),Jayce,2,3,0,249,9.2,ŁØAÐ,Varus,1,2,2,183,7.8,Wraith,Thresh,0,2,3,9,4.1,Flame,Kennen,4,0,7,275,11.9,Helios (Shin Dong-jin),Elise,4,1,5,77,7.7,Ambition,Ahri,2,1,9,268,11.3,Cpt Jack,Caitlyn,5,1,6,280,12,Lustboy,Nami,1,0,10,10,7.3
2013LCKSUMMER,2013-07-06,CJ Entus Blaze,Jin Air Stealths,1,Flame,Kennen,5,2,8,357,16.3,Helios (Shin Dong-jin),Nunu,0,2,11,75,9.6,Ambition,Diana,5,4,7,432,17.7,Cpt Jack,Kog'Maw,6,1,4,337,15.7,Lustboy,Nami,2,2,12,26,11.1,TrAce,Elise,3,4,5,186,11.2,ActScene,Evelynn,1,4,7,166,10.7,HooN (Kim Nam-hoon),Ezreal,5,2,3,381,15.9,ŁØAÐ,Caitlyn,1,3,5,268,12,Wraith,Thresh,1,5,9,14,7.6
2013LCKSUMMER,2013-07-12,Jin Air Stealths,Chunnam Tech U.,0,TrAce,Renekton,1,6,8,157,9.2,ActScene,Lee Sin,4,6,2,87,8.3,HooN (Kim Nam-hoon),Ryze,1,3,7,317,12.9,ŁØAÐ,Caitlyn,4,5,3,271,12.4,Wraith,Nami,1,5,9,16,7.6,NonameD,Kennen,3,1,16,244,12.5,Raccoon,Jarvan IV,1,2,20,46,8.4,Mima,Karthus,3,5,15,306,13.4,Riris,Vayne,17,2,6,288,17.1,Wolf (Lee Jae-wan),Thresh,1,1,22,35,8.7
2013LCKSUMMER,2013-07-12,Chunnam Tech U.,Jin Air Stealths,1,NonameD,Jax,8,4,7,231,14.6,Raccoon,Elise,2,5,18,90,10.5,Mima,Gragas,4,7,9,200,12.4,Riris,Ezreal,15,3,6,296,17.8,Wolf (Lee Jae-wan),Nami,3,3,19,27,11.2,TrAce,Kennen,2,8,10,207,10.4,ActScene,Zed,6,7,8,196,12,HooN (Kim Nam-hoon),Vladimir,6,5,10,330,15,ŁØAÐ,Caitlyn,8,5,6,279,14.1,Wraith,Thresh,0,7,9,23,7.4
2013LCKSUMMER,2013-07-17,CJ Entus Blaze,NaJin Black Sword,0,Flame,Kennen,1,2,2,180,7.6,Helios (Shin Dong-jin),Elise,1,5,1,73,5.4,Ambition,Orianna,0,5,2,242,8.5,Cpt Jack,Kog'Maw,1,5,2,200,8,Lustboy,Nami,0,3,3,18,4.9,Expession,Yorick,3,1,8,135,9,Watch,Nunu,0,0,18,50,7.1,SSONG,Ryze,6,1,7,243,12.1,PraY,Twitch,9,0,9,225,12.4,Cain,Sona,2,1,17,18,7.4
2013LCKSUMMER,2013-07-17,NaJin Black Sword,CJ Entus Blaze,0,Expession,Ryze,4,3,3,233,11.3,Watch,Elise,1,2,6,101,7.8,SSONG,Jayce,3,3,6,207,10.4,PraY,Vayne,2,3,4,271,11.5,Cain,Sona,0,4,7,22,6.6,Flame,Kennen,2,1,5,254,12.6,Helios (Shin Dong-jin),Lee Sin,2,2,9,70,9,Ambition,Ezreal,4,2,7,343,15.5,Cpt Jack,Kog'Maw,7,4,7,256,14.8,Lustboy,Thresh,0,2,13,34,8.5
2013LCKSUMMER,2013-07-20,Jin Air Stealths,NaJin Black Sword,1,TrAce,Shen,3,2,17,227,13.4,ActScene,Elise,5,2,9,113,11,HooN (Kim Nam-hoon),Ahri,5,2,10,271,13.9,ŁØAÐ,Caitlyn,4,1,11,257,13.5,Wraith,Thresh,4,1,12,23,9.5,Expession,Rumble,1,4,0,211,8.8,Watch,Nunu,2,5,5,73,6.6,SSONG,Kennen,0,4,5,208,9,PraY,Ezreal,5,5,0,284,11.9,Cain,Sona,0,3,6,32,6.6
2013LCKSUMMER,2013-07-20,NaJin Black Sword,Jin Air Stealths,1,Expession,Zed,6,4,6,415,17.5,Watch,Elise,4,1,12,112,10.4,SSONG,Evelynn,2,1,9,317,14.3,PraY,Caitlyn,3,4,9,369,15.9,Cain,Nami,4,0,14,24,10.3,TrAce,Shen,3,4,5,264,11.8,ActScene,Nunu,0,3,8,76,7.4,HooN (Kim Nam-hoon),Ezreal,3,3,4,365,13.7,ŁØAÐ,Varus,4,5,3,268,12,Wraith,Thresh,0,4,6,13,6.9
2013LCKSUMMER,2013-07-26,Chunnam Tech U.,CJ Entus Blaze,0,NonameD,Kennen,0,7,3,179,8.6,Raccoon,Jarvan IV,1,6,7,75,7.2,Mima,Karthus,6,7,4,267,12.2,Riris,Ezreal,4,4,4,228,11.2,Wolf (Lee Jae-wan),Sona,0,6,9,27,6.4,Flame,Diana,5,2,18,314,14.4,Helios (Shin Dong-jin),Nunu,4,2,23,65,9.5,Ambition,Lissandra,8,3,14,301,13.9,Hermes,Twitch,11,3,11,236,14,Lustboy,Nami,2,2,27,13,9.1
2013LCKSUMMER,2013-07-26,CJ Entus Blaze,Chunnam Tech U.,0,Flame,Vladimir,0,4,2,223,8.6,Helios (Shin Dong-jin),Jarvan IV,2,6,2,77,6.4,Ambition,Kha'Zix,1,4,1,243,9.5,Hermes,Kog'Maw,2,4,2,235,9.7,Lustboy,Thresh,0,2,4,18,5.2,NonameD,Elise,5,0,8,229,12.8,Raccoon,Nocturne,1,1,9,116,9.1,Mima,Ahri,4,2,11,214,12,Riris,Twitch,9,1,8,224,13.7,Wolf (Lee Jae-wan),Sona,1,1,14,21,8.6
